NJ-506,"Jersey City, Bayonne/Hudson County CoC",822,93,50,679,254,567,1,0,512,310,398,396,8,8,5,7
NJ-507,New Brunswick/Middlesex County CoC,546,146,49,351,224,320,2,0,365,181,275,248,9,4,0,10,383
NJ-508,Monmouth County CoC,299,99,22,178,134,164,1,0,244,55,135,123,4,1,0,36,124
NJ-509,Morris County CoC,378,91,27,260,151,227,0,0,320,58,211,127,6,5,0,29,206
NJ-510,Lakewood Township/Ocean County CoC,224,80,17,127,110,112,2,0,176,48,125,81,1,6,0,11,122
NJ-511,Paterson/Passaic County CoC,449,126,53,270,223,226,0,0,304,145,181,257,6,0,1,4,327
NJ-512,Salem County CoC,16,4,2,10,8,8,0,0,11,5,7,9,0,0,0,0,4
NJ-513,Somerset County CoC,244,51,29,164,94,148,2,0,208,36,131,106,0,2,0,5,66
NJ-514,Trenton/Mercer County CoC,478,78,50,350,155,323,0,0,419,59,167,298,1,4,2,6,305
NJ-515,Elizabeth/Union County CoC,480,171,38,271,230,250,0,0,342,138,195,274,4,3,0,4,294
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",286,61,16,209,119,166,0,1,252,34,211,68,3,1,0
NM-500,Albuquerque CoC,"1,318",184,84,"1,050",412,890,14,2,785,533,839,106,5,294,5
NM-501,New Mexico Balance of State CoC,"1,164",287,46,831,485,655,5,19,661,503,674,36,5,357,4,88
NV-500,Las Vegas/Clark County CoC,"6,490",440,"1,817","4,233","1,849","4,619",22,0,"5,646",844,"3
NV-501,"Reno, Sparks/Washoe County CoC","1,106",132,102,872,344,760,1,1,916,190,838,146,6,39,15
NV-502,Nevada Balance of State CoC,237,36,17,184,80,157,0,0,208,29,217,5,2,10,1,2,85
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",817,208,134,475,312,503,2,0,681,136,316,463,2,1,0
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",226,69,15,142,95,131,0,0,205,21,186,25,1
NY-503,Albany City & County CoC,802,187,58,557,274,527,1,0,706,96,310,431,7,16,6,32,644
NY-504,Cattaragus County CoC,34,6,8,20,17,17,0,0,32,2,27,2,0,2,1,2,34
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",798,156,93,549,295,497,6,0,708,90,418,312,4,9
NY-507,Schenectady City & County CoC,274,69,30,175,112,162,0,0,237,37,110,147,0,1,1,15,217
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",925,222,85,618,375,548,1,1,808,117,381,469
NY-510,Ithaca/Tompkins County CoC,73,9,22,42,36,37,0,0,65,8,51,17,0,1,1,3,31
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",308,34,30,244,98,209,1,0,294,14,242
NY-512,Troy/Rensselaer County CoC,194,60,22,112,123,71,0,0,158,36,95,72,0,2,10,15,140
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",337,50,35,252,141,193,2,1,301,36,252,68,0,3
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",83,24,19,40,53,30,0,0,52,31,75,4,2,1,0,1
NY-516,Clinton County CoC,126,31,8,87,46,80,0,0,123,3,111,15,0,0,0,0,125
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",162,46,27,89,83,78,1,0,147,15,105,45,3,0,0
NY-519,"Columbia, Greene Counties CoC",144,46,18,80,67,76,1,0,129,15,94,22,2,0,0,26
NY-520,"Franklin, Essex Counties CoC",28,4,4,20,7,21,0,0,27,1,16,12,0,0,0,0
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",169,21,28,120,49,119,1,0,147,22,158,10,0,1,0
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",247,45,24,178,91,155,1,0,243,4,211,29,0
NY-600,New York City CoC,"76,501","25,830","7,813","42,858","36,753","39,444",296,8,"49,271","27
NY-601,Poughkeepsie/Dutchess County CoC,388,123,31,234,189,199,0,0,311,77,173,173,1,3,1,37,206
NY-602,"Newburgh, Middletown/Orange County CoC",350,107,26,217,160,190,0,0,249,101,148,162,1,0,0,39
NY-603,"Nassau, Suffolk Counties CoC","3,937","1,836",333,"1,768","1,950","1,984",3,0,"3,196",741
NY-604,"Yonkers, Mount Vernon/Westchester County CoC","1,832",702,183,947,859,968,4,1,"1,409",423,497,"1,269",4
NY-606,Rockland County CoC,170,22,7,141,84,86,0,0,111,59,108,52,2,0,0,8,76
NY-607,Sullivan County CoC,167,36,20,111,70,97,0,0,146,21,115,28,2,0,0,22,165
NY-608,Kingston/Ulster County CoC,411,155,38,218,189,221,1,0,339,72,250,131,0,4,5,21,346
OH-500,Cincinnati/Hamilton County CoC,"1,162",193,97,872,374,788,0,0,"1,140",22,434,685,1,4,3
OH-501,Toledo/Lucas County CoC,499,175,29,295,227,268,3,1,464,35,179,264,0,9,0,47,346
OH-502,Cleveland/Cuyahoga County CoC,"1,727",256,93,"1,378",523,"1,198",6,0,"1,658",69,498,"1,199"
OH-503,Columbus/Franklin County CoC,"1,691",291,186,"1,214",637,"1,043",10,1,"1,636",55,504,"1,039"
OH-504,Youngstown/Mahoning County CoC,262,78,17,167,111,151,0,0,240,22,111,124,3,0,1,23,167
OH-505,"Dayton, Kettering/Montgomery County CoC",619,116,87,416,237,382,0,0,601,18,255,322,0,1,3,38
OH-506,"Akron, Barberton/Summit County CoC",507,87,32,388,171,336,0,0,501,6,260,221,5,3,1,17
OH-507,Ohio Balance of State CoC,"3,309",928,289,"2,092","1,544","1,756",4,5,"3,182",127,"2,530"
OH-508,"Canton, Massillon, Alliance/Stark County CoC",319,110,28,181,174,145,0,0,298,21,162,124,0,2,1
OK-500,North Central Oklahoma CoC,192,72,19,101,114,78,0,0,171,21,147,15,0,23,0,7,94
OK-501,Tulsa City & County CoC,"1,074",164,114,796,373,699,2,0,986,88,614,238,2,125,11,84
OK-502,Oklahoma City CoC,"1,368",236,79,"1,053",506,855,6,1,"1,278",90,849,367,6,117
OK-503,Oklahoma Balance of State CoC,432,147,47,238,209,223,0,0,381,51,233,26,0,105,0,68,100
OK-504,Norman/Cleveland County CoC,174,12,9,153,80,92,2,0,154,20,155,14,0,5,0,0,79
OK-505,Northeast Oklahoma CoC,377,111,45,221,174,203,0,0,367,10,235,3,0,107,0,32,280
OK-506,Southwest Oklahoma Regional CoC,231,49,23,159,80,151,0,0,222,9,122,83,0,26,0,0,88
OK-507,Southeastern Oklahoma Regional CoC,351,76,42,233,166,184,0,1,333,18,239,21,0,69,5,17,206
OR-500,"Eugene, Springfield/Lane County CoC","1,529",160,119,"1,250",514,"1,012",2,1,"1,399",130,"1,287"
OR-501,"Portland, Gresham/Multnomah County CoC","4,177",385,340,"3,452","1,578","2,540",44,15,"3,709",468,"2
OR-502,"Medford, Ashland/Jackson County CoC",633,74,62,497,219,410,3,1,554,79,551,16,1,16,7,42
OR-503,Central Oregon CoC,778,163,78,537,287,489,2,0,681,97,687,20,1,50,5,15,181
OR-505,Oregon Balance of State CoC,"5,795","1,666",480,"3,649","2,524","3,254",14,3,"5,177",618,"5
OR-506,"Hillsboro, Beaverton/Washington County CoC",544,128,47,369,203,335,2,4,474,70,395,49,7,9,22,62
OR-507,Clackamas County CoC,497,60,34,403,168,328,0,1,450,47,400,18,2,29,5,43,87
PA-500,Philadelphia CoC,"5,693","1,534",524,"3,635","2,255","3,373",56,9,"5,283",410,869
PA-501,Harrisburg/Dauphin County CoC,460,98,22,340,162,298,0,0,387,73,170,238,4,1,3,44,238
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",453,128,34,291,207,246,0,0,433,20,127,299,4,0,1
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",174,56,20,98,104,70,0,0,135,39,93,67,0,2,0,12
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",310,108,30,172,168,142,0,0,296,14,110,169,2,0,0
PA-505,Chester County CoC,578,116,22,440,201,377,0,0,548,30,307,246,6,2,0,17,260
PA-506,Reading/Berks County CoC,534,112,44,378,173,361,0,0,361,173,397,131,1,2,1,2,290
PA-508,Scranton/Lackawanna County CoC,197,63,20,114,94,103,0,0,168,29,129,42,0,1,0,25,56
PA-509,Eastern Pennsylvania CoC,"2,170",612,220,"1,338","1,031","1,135",4,0,"1,786",384,"1,585"
PA-510,Lancaster City & County CoC,321,86,27,208,155,166,0,0,242,79,189,111,0,3,1,17,181
PA-511,"Bristol, Bensalem/Bucks County CoC",511,191,67,253,294,217,0,0,448,63,325,156,1,1,0,28
PA-512,York City & County CoC,288,103,12,173,144,142,2,0,246,42,170,93,2,0,1,22,116
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","1,145",249,109,787,466,675,3,1,"1,107",38,448,598,9
PA-601,Western Pennsylvania CoC,837,190,68,579,364,473,0,0,810,27,656,143,4,1,2,31,451
PA-603,Beaver County CoC,98,40,5,53,52,46,0,0,98,0,42,55,0,0,0,1,66
PA-605,Erie City & County CoC,369,69,36,264,129,239,1,0,348,21,247,108,0,1,0,13,241
PR-502,Puerto Rico Balance of Commonwealth CoC,"1,883",115,102,"1,666",480,"1,402",1,0,50,"1,833",883,379,1
PR-503,South-Southeast Puerto Rico CoC,"1,642",103,97,"1,442",361,"1,274",4,3,27,"1,615",729,254,1
RI-500,Rhode Island Statewide CoC,"1,180",236,78,866,430,743,7,0,917,263,762,309,8,16,3,82
SC-500,Charleston/Low Country CoC,425,21,13,391,81,342,2,0,409,16,170,211,2,3,0,39,99
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC","1,317",265,80,972,543,769,4,1,"1,283",34,607,658,3
SC-502,Columbia/Midlands CoC,"1,200",167,68,965,433,765,2,0,"1,178",22,361,795,2,13,1
SC-503,"Myrtle Beach, Sumter City & County CoC",974,189,66,719,394,577,2,1,958,16,394,541,1,12,1,25
SD-500,South Dakota Statewide CoC,943,215,62,666,412,529,2,0,901,42,310,44,3,563,8,15,590
TN-500,Chattanooga/Southeast Tennessee CoC,576,70,22,484,206,369,1,0,559,17,368,172,0,2,0,34,298
TN-501,Memphis/Shelby County CoC,"1,426",317,62,"1,047",468,958,0,0,"1,410",16,285,"1,091",5
TN-502,Knoxville/Knox County CoC,812,67,73,672,340,471,1,0,784,28,559,218,4,3,1,27,404
TN-503,Central Tennessee CoC,285,55,42,188,125,160,0,0,258,27,168,116,1,0,0,0,133
TN-504,Nashville-Davidson County CoC,"2,337",267,108,"1,962",725,"1,610",2,0,"2,257",80,"1,220","1
TN-506,Upper Cumberland CoC,252,57,21,174,113,138,1,0,250,2,219,20,1,2,2,8,165
TN-507,Jackson/West Tennessee CoC,"1,103",260,83,760,566,537,0,0,"1,087",16,672,391,0,18,0
TN-509,Appalachian Regional CoC,450,61,13,376,152,298,0,0,444,6,413,27,2,2,0,6,231
TN-510,Murfreesboro/Rutherford County CoC,316,35,17,264,194,122,0,0,313,3,193,105,2,3,0,13,193
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",752,175,102,475,367,380,2,3,730,22,678,54,0,7
TX-500,San Antonio/Bexar County CoC,"2,743",511,161,"2,071","1,039","1,691",12,1,"1,529","1,214","1
TX-503,Austin/Travis County CoC,"2,036",386,144,"1,506",704,"1,328",4,0,"1,473",563,"1,129",757
TX-600,"Dallas City & County, Irving CoC","3,789",569,239,"2,981","1,307","2,477",3,2,"3,293",496,"1
TX-601,"Fort Worth, Arlington/Tarrant County CoC","1,941",407,104,"1,430",741,"1,200",0,0,"1,690",251,930,941
TX-603,El Paso City & County CoC,"1,193",342,92,759,506,687,0,0,381,812,"1,068",75,11,15,3
TX-604,Waco/McLennan County CoC,221,66,18,137,105,115,0,1,176,45,128,77,2,2,0,12,93
TX-607,Texas Balance of State CoC,"7,153","1,306",679,"5,168","2,779","4,287",19,68,"4,586","2,567"
TX-611,Amarillo CoC,531,34,44,453,176,335,1,19,458,73,300,103,0,10,3,115,419
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",234,39,24,171,99,132,1,2,215,19,165,57,0,0
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","3,605",611,237,"2,757","1,371","2,226",7,1
TX-701,"Bryan, College Station/Brazos Valley CoC",102,15,8,79,34,68,0,0,91,11,46,52,3,1,0,0
UT-500,Salt Lake City & County CoC,"2,047",440,143,"1,464",720,"1,321",6,0,"1,558",489,"1,514",230
UT-503,Utah Balance of State CoC,634,158,47,429,286,347,1,0,528,106,535,44,2,24,4,25,477
UT-504,Provo/Mountainland CoC,171,39,13,119,77,94,0,0,124,47,153,8,0,4,1,5,67
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",662,56,41,565,139,522,0,1,641,21,245,399,2,0,1
