"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoC Number,CoC Name,"Overall Homeless, 2014","Overall Homeless - Under 18, 2014","Overall Homeless - Age 18 to 24, 2014","Overall Homeless - Over 24, 2014","Sheltered ES Homeless, 2014","Sheltered ES Homeless - Under 18, 2014","Sheltered ES Homeless - Age 18 to 24, 2014","Sheltered ES Homeless - Over 24, 2014","Sheltered TH Homeless, 2014","Sheltered TH Homeless - Under 18, 2014","Sheltered TH Homeless - Age 18 to 24, 2014","Sheltered TH Homeless - Over 24, 2014","Sheltered SH Homeless, 2014","Sheltered SH Homeless - Age 18 to 24, 2014","Sheltered SH Homeless - Over 24, 2014","Sheltered Total Homeless, 2014","Sheltered Total Homeless - Under 18, 2014","Sheltered Total Homeless - Age 18 to 24, 2014","Sheltered Total Homeless - Over 24, 2014","Unsheltered Homeless, 2014","Unsheltered Homeless - Under 18, 2014","Unsheltered Homeless - Age 18 to 24, 2014","Unsheltered Homeless - Over 24, 2014","Overall Homeless Individuals, 2014","Overall Homeless Individuals - Under 18, 2014","Overall Homeless Individuals - Age 18 to 24, 2014","Overall Homeless Individuals - Over 24, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered ES Homeless Individuals - Under 18, 2014","Sheltered ES Homeless Individuals - Age 18 to 24, 2014","Sheltered ES Homeless Individuals - Over 24, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered TH Homeless Individuals - Under 18, 2014","Sheltered TH Homeless Individuals - Age 18 to 24, 2014","Sheltered TH Homeless Individuals - Over 24, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered SH Homeless Individuals - Age 18 to 24, 2014","Sheltered SH Homeless Individuals - Over 24, 2014","Sheltered Total Homeless Individuals, 2014","Sheltered Total Homeless Individuals - Under 18, 2014","Sheltered Total Homeless Individuals - Age 18 to 24, 2014","Sheltered Total Homeless Individuals - Over 24, 2014","Unsheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals - Under 18, 2014","Unsheltered Homeless Individuals - Age 18 to 24, 2014","Unsheltered Homeless Individuals - Over 24, 2014","Overall Homeless People in Families, 2014","Overall Homeless People in Families - Under 18, 2014","Overall Homeless People in Families - Age 18 to 24, 2014","Overall Homeless People in Families - Over 24, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered ES Homeless People in Families - Under 18, 2014","Sheltered ES Homeless People in Families - Age 18 to 24, 2014","Sheltered ES Homeless People in Families - Over 24, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered TH Homeless People in Families - Under 18, 2014","Sheltered TH Homeless People in Families - Age 18 to 24, 2014","Sheltered TH Homeless People in Families - Over 24, 2014","Sheltered Total Homeless People in Families, 2014","Sheltered Total Homeless People in Families - Under 18, 2014","Sheltered Total Homeless People in Families - Age 18 to 24, 2014","Sheltered Total Homeless People in Families - Over 24, 2014","Unsheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families - Under 18, 2014","Unsheltered Homeless People in Families - Age 18 to 24, 2014","Unsheltered Homeless People in Families - Over 24, 2014","Overall Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Overall Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Overall Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Overall Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Overall Homeless Veterans, 2014","Overall Homeless Veterans - Female, 2014","Sheltered Total Homeless Veterans, 2014","Sheltered Total Homeless Veterans - Female, 2014","Unsheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans - Female, 2014"
AK-500,Anchorage CoC,"1,023",188,146,689,665,86,88,491,305,99,38,168,0,0,0,970,185,126,659,53,3,20,30,736,13,133,590,530,9,76,445,158,3,37,118,0,0,0,688,12,113,563,48,1,20,27,287,175,13,99,135,77,12,46,147,96,1,50,282,173,13,96,5,2,0,3,102,52,48,100,2,101,59,0,59,42,94,56,0,56,38,7,3,3,4,138,7,120,7,18,0
AK-501,Alaska Balance of State CoC,761,209,56,496,474,119,30,325,195,61,21,113,0,0,0,669,180,51,438,92,29,5,58,473,5,48,420,318,5,25,288,103,0,18,85,0,0,0,421,5,43,373,52,0,5,47,288,204,8,76,156,114,5,37,92,61,3,28,248,175,8,65,40,29,0,11,91,56,23,79,12,105,78,0,78,27,88,63,0,63,25,17,15,15,2,40,0,40,0,0,0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1,329",262,76,991,387,47,27,313,497,169,12,316,31,4,27,915,216,43,656,414,46,33,335,915,4,64,847,316,1,25,290,225,0,6,219,31,4,27,572,1,35,536,343,3,29,311,414,258,12,144,71,46,2,23,272,169,6,97,343,215,8,120,71,43,4,24,139,26,85,111,28,331,70,26,96,235,313,68,26,94,219,18,2,2,16,174,13,154,10,20,3
AL-501,Mobile City & County/Baldwin County CoC,598,126,44,428,287,69,24,194,174,52,11,111,0,0,0,461,121,35,305,137,5,9,123,397,0,26,371,173,0,10,163,99,0,9,90,0,0,0,272,0,19,253,125,0,7,118,201,126,18,57,114,69,14,31,75,52,2,21,189,121,16,52,12,5,2,5,64,35,25,60,4,75,39,0,39,36,68,32,0,32,36,7,7,7,0,61,6,38,5,23,1
AL-502,Florence/Northwest Alabama CoC,209,50,6,153,38,7,1,30,151,38,2,111,0,0,0,189,45,3,141,20,5,3,12,132,0,4,128,26,0,1,25,93,0,1,92,0,0,0,119,0,2,117,13,0,2,11,77,50,2,25,12,7,0,5,58,38,1,19,70,45,1,24,7,5,1,1,23,3,19,22,1,13,3,0,3,10,13,3,0,3,10,0,0,0,0,7,1,5,1,2,0
AL-503,Huntsville/North Alabama CoC,536,93,32,411,413,50,21,342,86,43,9,34,0,0,0,499,93,30,376,37,0,2,35,386,2,26,358,336,0,19,317,13,2,5,6,0,0,0,349,2,24,323,37,0,2,35,150,91,6,53,77,50,2,25,73,41,4,28,150,91,6,53,0,0,0,0,45,21,24,45,0,107,84,0,84,23,98,75,0,75,23,9,9,9,0,64,2,58,2,6,0
AL-504,Montgomery City & County CoC,490,78,24,388,120,16,8,96,289,55,15,219,0,0,0,409,71,23,315,81,7,1,73,365,0,21,344,95,0,8,87,200,0,12,188,0,0,0,295,0,20,275,70,0,1,69,125,78,3,44,25,16,0,9,89,55,3,31,114,71,3,40,11,7,0,4,44,8,33,41,3,37,12,0,12,25,35,10,0,10,25,2,2,2,0,39,5,25,3,14,2
AL-505,Gadsden/Northeast Alabama CoC,438,18,41,379,354,13,23,318,14,5,1,8,0,0,0,368,18,24,326,70,0,17,53,359,10,19,330,308,10,14,284,7,0,1,6,0,0,0,315,10,15,290,44,0,4,40,79,8,22,49,46,3,9,34,7,5,0,2,53,8,9,36,26,0,13,13,38,23,2,25,13,36,16,0,16,20,26,16,0,16,10,10,0,0,10,34,2,29,1,5,1
AL-506,Tuscaloosa City & County CoC,245,49,28,168,11,4,1,6,122,17,15,90,0,0,0,133,21,16,96,112,28,12,72,167,0,24,143,5,0,0,5,98,0,14,84,0,0,0,103,0,14,89,64,0,10,54,78,49,4,25,6,4,1,1,24,17,1,6,30,21,2,7,48,28,2,18,20,2,6,8,12,80,2,0,2,78,43,2,0,2,41,37,0,0,37,90,6,75,4,15,2
AL-507,Alabama Balance of State CoC,716,96,115,505,241,22,52,167,303,32,35,236,0,0,0,544,54,87,403,172,42,28,102,394,0,78,316,160,0,43,117,188,0,24,164,0,0,0,348,0,67,281,46,0,11,35,322,96,37,189,81,22,9,50,115,32,11,72,196,54,20,122,126,42,17,67,84,23,22,45,39,50,31,0,31,19,22,13,0,13,9,28,18,18,10,73,14,66,12,7,2
AR-500,Little Rock/Central Arkansas CoC,"1,074",68,163,843,342,31,48,263,229,37,9,183,0,0,0,571,68,57,446,503,0,106,397,951,1,152,798,285,1,41,243,163,0,5,158,0,0,0,448,1,46,401,503,0,106,397,123,67,11,45,57,30,7,20,66,37,4,25,123,67,11,45,0,0,0,0,48,24,24,48,0,350,46,0,46,304,348,44,0,44,304,2,2,2,0,197,68,141,66,56,2
AR-501,Fayetteville/Northwest Arkansas CoC,551,121,56,374,156,5,3,148,173,86,15,72,0,0,0,329,91,18,220,222,30,38,154,388,18,31,339,145,0,0,145,66,18,8,40,0,0,0,211,18,8,185,177,0,23,154,163,103,25,35,11,5,3,3,107,68,7,32,118,73,10,35,45,30,15,0,55,5,35,40,15,39,1,0,1,38,38,0,0,0,38,1,1,1,0,98,1,41,1,57,0
AR-503,Arkansas  Balance of State  CoC,"1,056",128,85,843,370,58,57,255,50,2,2,46,0,0,0,420,60,59,301,636,68,26,542,762,2,60,700,235,0,47,188,46,0,2,44,0,0,0,281,0,49,232,481,2,11,468,294,126,25,143,135,58,10,67,4,2,0,2,139,60,10,69,155,66,15,74,120,65,2,67,53,50,11,0,11,39,50,11,0,11,39,0,0,0,0,35,2,17,1,18,1
AR-505,Southeast Arkansas CoC,70,24,3,43,58,18,3,37,12,6,0,6,0,0,0,70,24,3,43,0,0,0,0,39,4,1,34,35,4,1,30,4,0,0,4,0,0,0,39,4,1,34,0,0,0,0,31,20,2,9,23,14,2,7,8,6,0,2,31,20,2,9,0,0,0,0,10,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
