CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
CA-603,Santa Maria/Santa Barbara County CoC, 1832 ,245,113, 1,474 ,576,88,51,437,278,93,14,171,0,0,0,854
CA-604,Bakersfield/Kern County CoC,992,178,87,727,382,120,26,236,195,37,19,139,0,0,0,577,157
CA-606,Long Beach CoC, 2738 ,298,131, 2,309 ,396,46,22,328,445,91,32,322,18,0,18,859
CA-607,Pasadena CoC,666,84,32,550,138,41,9,88,127,35,6,86,0,0,0,265,76
CA-608,Riverside City & County CoC, 2945 ,345,211, 2,389 ,575,106,60,409,482,163,40,279,0,0,0, 1
CA-609,San Bernardino City & County CoC, 2315 ,409,288, 1,618 ,454,178,62,214,614,149,148,317,0,0,0, 1
CA-611, Oxnard San Buenaventura/Ventura County CoC , 1,428 ,234,86, 1,108 ,240,12,4,224,268,103,8,157,10,1,9
CA-612,Glendale CoC,292,54,8,230,107,4,5,98,78,48,3,27,0,0,0,185,52
CA-613,Imperial County CoC,298,77,8,213,104,30,3,71,60,39,4,17,0,0,0,164,69
CA-614,San Luis Obispo County CoC, 2366 ,268,219, 1,879 ,172,41,6,125,72,23,4,45,0,0,0,244
CO-500,Colorado Balance of State CoC, 2188 ,562,206, 1,420 ,674,163,46,465,509,239,50,220,0,0,0, 1
CO-503,Metropolitan Denver CoC, 6621 , 2,019 ,682, 3,920 , 2,885 ,481,249, 2,155 , 3,042 , 1,492 ,343
CO-504,Colorado Springs/El Paso County CoC, 1219 ,254,116,849,443,53,49,341,507,197,51,259,0,0,0,950,250
CT-503, Bridgeport Stamford Norwalk Danbury/Fairfield County CoC , 1,083 ,220,62,801,519,107,36,376,253,91,13,149,0,0,0,772
CT-505,Connecticut Balance of State CoC, 3367 ,616,246, 2,505 , 1,962 ,355,147, 1,460 ,797,227,54,516,0,0
DC-500,District of Columbia CoC, 7748 , 2,241 ,837, 4,670 , 5,754 , 1,725 ,615, 3,414 , 1,598 ,516,204
DE-500,Delaware Statewide CoC,901,220,51,630,435,83,19,333,429,133,30,266,0,0,0,864,216
FL-500, Sarasota Bradenton/Manatee Sarasota Counties CoC , 1,377 ,168,103, 1,106 ,463,67,37,359,317,88,29,200,0,0,0
FL-501,Tampa/Hillsborough County CoC, 1944 ,177,266, 1,501 ,314,43,38,233,532,28,57,447,7,0,7,853
FL-502, St. Petersburg Clearwater Largo/Pinellas County CoC , 3,391 ,735,154, 2,502 , 1,353 ,535,54,764,819,175,33,611,41,0
FL-503, Lakeland Winterhaven/Polk County CoC ,536,59,24,453,138,19,4,115,110,27,7,76,0,0,0,248,46
FL-504, Deltona Daytona Beach/Volusia Flagler Counties CoC , 1,633 ,310,70, 1,253 ,102,6,3,93,506,171,45,290,0,0,0
FL-505, Fort Walton Beach/Okaloosa Walton Counties CoC , 1,577 ,687,181,709,228,16,0,212,74,41,0,33,0,0,0,302
FL-506,Tallahassee/Leon County CoC,805,87,70,648,307,15,10,282,310,71,51,188,0,0,0,617,86
FL-507, Orlando/Orange Osceola Seminole Counties CoC , 2,254 ,537,107, 1,610 ,974,185,50,739, 1,014 ,352,50,612,0,0
